2020-08-13 11:02:19 INFO     正在qq中搜索 ——> 晋江...
2020-08-13 11:02:21 INFO     正在migu中搜索 ——> 晋江...
2020-08-13 11:02:21 INFO     正在xiami中搜索 ——> 晋江...
2020-08-13 11:02:21 INFO     正在joox中搜索 ——> 晋江...
2020-08-13 11:02:38 INFO     正在从netease下载 ——> netease_晋江...
2020-08-13 11:02:39 INFO     成功从netease下载到了 ——> netease_晋江...
2020-08-13 11:02:54 INFO     正在kugou中搜索 ——> 雅俗共赏...
2020-08-13 11:02:55 INFO     正在kuwo中搜索 ——> 雅俗共赏...
2020-08-13 11:02:56 INFO     正在netease中搜索 ——> 雅俗共赏...
2020-08-13 11:03:21 INFO     正在qq中搜索 ——> 雅俗共赏...
2020-08-13 11:03:23 INFO     正在migu中搜索 ——> 雅俗共赏...
2020-08-13 11:03:23 INFO     正在xiami中搜索 ——> 雅俗共赏...
2020-08-13 11:03:24 INFO     正在joox中搜索 ——> 雅俗共赏...
2020-08-13 11:03:53 INFO     正在从joox下载 ——> joox_雅俗共賞...
2020-08-13 11:04:36 INFO     成功从joox下载到了 ——> joox_雅俗共賞...
2020-08-13 11:04:45 INFO     正在kugou中搜索 ——> 情人...
2020-08-13 11:05:13 INFO     正在kuwo中搜索 ——> 情人...
2020-08-13 11:05:16 INFO     正在netease中搜索 ——> 情人...
2020-08-13 11:05:44 INFO     正在qq中搜索 ——> 情人...
2020-08-13 11:05:46 INFO     正在migu中搜索 ——> 情人...
2020-08-13 11:05:46 INFO     正在xiami中搜索 ——> 情人...
2020-08-13 11:05:47 INFO     正在joox中搜索 ——> 情人...
2020-08-13 11:05:58 INFO     正在从qq下载 ——> qq_情人...
2020-08-13 11:06:00 INFO     成功从qq下载到了 ——> qq_情人...
2020-08-13 11:06:26 INFO     正在kugou中搜索 ——> 鱼仔...
2020-08-13 11:06:30 INFO     正在kuwo中搜索 ——> 鱼仔...
2020-08-13 11:06:30 INFO     正在netease中搜索 ——> 鱼仔...
2020-08-13 11:06:49 WARNING  无法在netease中搜索 ——> 鱼仔...
2020-08-13 11:06:49 INFO     正在qq中搜索 ——> 鱼仔...
2020-08-13 11:06:50 WARNING  无法在qq中搜索 ——> 鱼仔...
2020-08-13 11:06:50 INFO     正在migu中搜索 ——> 鱼仔...
2020-08-13 11:06:50 INFO     正在xiami中搜索 ——> 鱼仔...
2020-08-13 11:06:51 INFO     正在joox中搜索 ——> 鱼仔...
2020-08-13 11:07:14 INFO     正在从joox下载 ——> joox_魚仔...
2020-08-13 11:07:26 INFO     成功从joox下载到了 ——> joox_魚仔...
2020-08-13 11:11:21 INFO     正在kugou中搜索 ——> cardigan...
2020-08-13 11:11:22 INFO     正在kuwo中搜索 ——> cardigan...
2020-08-13 11:11:23 INFO     正在netease中搜索 ——> cardigan...
2020-08-13 11:11:45 INFO     正在qq中搜索 ——> cardigan...
2020-08-13 11:11:47 INFO     正在migu中搜索 ——> cardigan...
2020-08-13 11:11:47 INFO     正在xiami中搜索 ——> cardigan...
2020-08-13 11:11:48 INFO     正在joox中搜索 ——> cardigan...
2020-08-13 11:12:30 INFO     正在从joox下载 ——> joox_cardigan...
2020-08-13 11:12:36 INFO     成功从joox下载到了 ——> joox_cardigan...
